Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,266e75d0-07c0-59c6-adfd-e2f24c8aebc7,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 16,ocd-division/country:us/state:de/sldl:16,State Representative,DE State House,d97a2559-796c-48b4-900b-738534447e37,DE State Representative,District 16,1,1,"Franklin D. Cooke, Jr.",Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Franklin_Cooke_Jr.,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,1e5c609a-5e0a-599a-93d8-acbfd85b3e46,DE,administrativeArea2,legislatorUpperBody,New Castle County,ocd-division/country:us/state:de/county:new_castle,New Castle Council County Council District 3,ocd-division/country:us/state:de/county:new_castle/council_district:3,County Legislator,New Castle County Council,d4cc021f-db89-42d9-91a6-4d72180a3e3f,New Castle County Council Member,District 3,1,1,Janet Kilpatrick,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,372b01dc-0b36-5c6c-9d53-0dca321e4e98,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 29,ocd-division/country:us/state:de/sldl:29,State Representative,DE State House,a9d136f4-0703-42e7-bae9-7326ed13025d,DE State Representative,District 29,1,1,Marc Wienner,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,c3fae301-0689-5733-8983-d0f0c1420787,DE,administrativeArea2,legislatorUpperBody,New Castle County,ocd-division/country:us/state:de/county:new_castle,New Castle Council County Council District 4,ocd-division/country:us/state:de/county:new_castle/council_district:4,County Legislator,New Castle County Council,5b80110f-ec04-4f65-a40b-326b8a55dc74,New Castle County Council Member,District 4,1,1,Penrose Hollins,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,5207223b-9e59-5609-a851-31bb0e6c9b18,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 17,ocd-division/country:us/state:de/sldl:17,State Representative,DE State House,28e91954-80a4-4103-b955-15fede5adf5e,DE State Representative,District 17,1,1,Melissa Minor-Brown,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Melissa_Minor-Brown,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,4654b5d9-0f51-59d5-8625-08389e61c66a,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 3,ocd-division/country:us/state:de/sldl:3,State Representative,DE State House,8fa76959-8664-4ea8-af8b-eb53c1787227,DE State Representative,District 3,1,1,Sherry Dorsey Walker,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,,,,,,,Sherry_Dorsey_Walker,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,feedd81e-83f9-5d0c-9b5b-f39ae2b95de2,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 18,ocd-division/country:us/state:de/sldl:18,State Representative,DE State House,a3c10792-ce53-45a5-9fa3-561fd6cefe06,DE State Representative,District 18,1,1,Sophie Phillips,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,acfcfdc7-3dce-5e5b-ae10-d0d78277108c,DE,administrativeArea2,legislatorUpperBody,New Castle County,ocd-division/country:us/state:de/county:new_castle,New Castle Council County Council District 5,ocd-division/country:us/state:de/county:new_castle/council_district:5,County Legislator,New Castle County Council,460fadb5-147f-4f7c-9240-563fbe2beb9c,New Castle County Council Member,District 5,1,1,Valerie George,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,,,,,,,,,,,,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,f08703c8-e338-5a8b-b362-11d6f0068a5c,DE,administrativeArea1,legislatorLowerBody,Delaware,ocd-division/country:us/state:de,Delaware State House district 30,ocd-division/country:us/state:de/sldl:30,State Representative,DE State House,f541dd0f-c43f-44f3-a023-bb730df7cab4,DE State Representative,District 30,1,1,Wm Shannon Morris,Republican Party,Republican Party,https://www.facebook.com/DelawareRepublicanParty/,https://www.instagram.com/delawarerepublicanparty/,TRUE,,,,,,,,,,,,,,,,W._Shannon_Morris,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
,b82a3f0c-b575-5bcc-b327-0fa08022f57b,DE,administrativeArea2,legislatorUpperBody,New Castle County,ocd-division/country:us/state:de/county:new_castle,New Castle Council County Council District 6,ocd-division/country:us/state:de/county:new_castle/council_district:6,County Legislator,New Castle County Council,d94368a1-5ac1-4ac4-aad5-d48520fb2f85,New Castle County Council Member,District 6,1,1,David Carter,Democratic Party,Democratic Party,https://www.facebook.com/DelawareDemocraticParty/,https://www.instagram.com/deldems/,TRUE,,,,,,,,,,CarterforNCC,,,,,,,,,,,https://elections.delaware.gov/services/candidate/genl_fcddt_2022.shtml,Ballot Filings,qualified,11/8/22
