Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,c7f75f02-e767-5b4f-93dc-9ce1c7148be1,VT,administrativeArea1,deputyHeadOfGovernment,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Lieutenant Governor,,de9b4c8d-fc56-49ab-a0d0-7c9167438a55,Lieutenant Governor of Vermont,,1,1,Joe Benning,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,ee77bfdd-4025-507c-8a69-b2cc407c96c6,VT,administrativeArea1,governmentOfficer,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Attorney General,,0e655d5e-530e-4294-8ca0-e44765472924,VT State Attorney General,,1,1,Michael Tagliavia,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,a4924e57-2cc4-514c-bf47-9a98a9cf968f,VT,country,legislatorLowerBody,United States,ocd-division/country:us,Vermont,ocd-division/country:us/state:vt,U.S. Representative,U.S. House of Representatives,a10f5170-bf01-49c3-89cd-d5f910afc581,U.S. Representative,,1,1,Matt Druzba,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,a72397b2-ed66-5fdd-a863-5aecc7a512df,VT,administrativeArea1,deputyHeadOfGovernment,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Lieutenant Governor,,de9b4c8d-fc56-49ab-a0d0-7c9167438a55,Lieutenant Governor of Vermont,,1,1,Ian G. Diamondstone,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,64282613-59f9-59ed-8a2d-111ec5116bdb,VT,country,legislatorLowerBody,United States,ocd-division/country:us,Vermont,ocd-division/country:us/state:vt,U.S. Representative,U.S. House of Representatives,a10f5170-bf01-49c3-89cd-d5f910afc581,U.S. Representative,,1,1,Luke Talbot,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,780568d9-762a-5e6c-bff9-eae0a6d9a75f,VT,administrativeArea1,governmentOfficer,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Attorney General,,0e655d5e-530e-4294-8ca0-e44765472924,VT State Attorney General,,1,1,Charity R. Clark,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,0b97e33d-29a7-5140-a88e-bc8389a0f176,VT,administrativeArea1,headOfGovernment,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Governor,,6b0b0884-270d-4789-85dd-b3009b91b537,Governor of Vermont,,1,1,Phil Scott,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,TRUE,,,,,,,,,,,,,,,,Phil_Scott_(politician),,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,ea7dd6b4-2989-5d45-99f2-2c721cb6c65c,VT,administrativeArea1,deputyHeadOfGovernment,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Lieutenant Governor,,de9b4c8d-fc56-49ab-a0d0-7c9167438a55,Lieutenant Governor of Vermont,,1,1,David Zuckerman,Democratic Party,Democratic Party,https://www.facebook.com/vtdems,https://www.instagram.com/vtdems/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,16fdfa7b-f06c-5d39-a98c-2704def37d8d,VT,administrativeArea1,headOfGovernment,Vermont,ocd-division/country:us/state:vt,Vermont,ocd-division/country:us/state:vt,Governor,,6b0b0884-270d-4789-85dd-b3009b91b537,Governor of Vermont,,1,1,Peter Duval,Unaffiliated,Unaffiliated,,,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
,9e850078-1410-521c-99f1-bf49cf695782,VT,country,legislatorLowerBody,United States,ocd-division/country:us,Vermont,ocd-division/country:us/state:vt,U.S. Representative,U.S. House of Representatives,a10f5170-bf01-49c3-89cd-d5f910afc581,U.S. Representative,,1,1,Liam Madden,Republican Party,Republican Party,https://www.facebook.com/vtgop/,https://www.instagram.com/vtgop/,,,,,,,,,,,,,,,,,,,,,,https://sos.vermont.gov/elections/election-info-resources/candidates/,Ballot Filings,Qualified,11/8/22
