Pre-Filing ID,Candidate UUID,State,Level,Role,Jurisdiction,Jurisdiction OCDID,Electoral District,Electoral District OCDID,Office Category,Body Name,Office UUID,Office Name,Seat,Number Voting,Number Elected,Candidate Name,Candidate Party Registration,Candidate Party Roll Up,State Party FBID,State Party IG,Incumbent,Phone,Mailing Address,Website (Campaign),Website (Personal),Email,Photo URL,Facebook URL (Campaign),Facebook URL (Gov),Facebook URL (Personal),Twitter Name (Campaign),Twitter Name (Gov),Twitter Name (Personal),Instagram URL (Campaign),Instagram URL (Gov),Instagram URL (Personal),Wiki Word,Youtube (Campaign),Youtube (Gov),Youtube (Personal),County,Source,Source Type,Candidate Status,Inactive Date
,a7294e83-6120-598c-ba55-0c48e72d2706,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 8th Plymouth district,ocd-division/country:us/state:ma/sldl:8th_plymouth,State Representative,MA State House,fc3b0ba3-64ab-4693-b29c-1cf6192fc719,MA State Representative,District 8th Plymouth,1,1,Angelo L. D'Emilia,Republican Party,Republican Party,,,TRUE,,,,,,,,,https://www.facebook.com/angelo.demilia.3,,,,,,,Angelo_D%27Emilia,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,e8a14fe6-e1b8-55f8-a1e3-f0127935f00e,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 8th Suffolk district,ocd-division/country:us/state:ma/sldl:8th_suffolk,State Representative,MA State House,7577749c-1aaf-4c5c-8794-3fa22072753d,MA State Representative,District 8th Suffolk,1,1,Jay D. Livingstone,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Jay_Livingstone,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,ff15af99-b2b6-5d2c-a5c7-1362ede88854,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 36th Middlesex district,ocd-division/country:us/state:ma/sldl:36th_middlesex,State Representative,MA State House,2a5106a1-3542-42fb-8ea3-668c697cdc81,MA State Representative,District 36th Middlesex,1,1,George Derek Boag,Republican Party,Republican Party,,,,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,da9570a8-8a6a-59c0-a487-7582c13bcb2e,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 8th Worcester district,ocd-division/country:us/state:ma/sldl:8th_worcester,State Representative,MA State House,cbcf7324-f793-46b7-a199-279902b5d93c,MA State Representative,District 8th Worcester,1,1,Michael J. Soter,Republican Party,Republican Party,,,TRUE,,,,,,,,,,,,,,,,Michael_Soter,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,ca3f2857-e983-5758-8554-c8cd6a266e6d,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Bristol district,ocd-division/country:us/state:ma/sldl:9th_bristol,State Representative,MA State House,390ccd2f-a1f2-477f-91ff-34602638a009,MA State Representative,District 9th Bristol,1,1,Christopher Markey,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Christopher_Markey,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,55d14d97-70f8-57e8-a16b-b272ec660ef0,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 6th Worcester district,ocd-division/country:us/state:ma/sldl:6th_worcester,State Representative,MA State House,8f412547-184c-4259-9cdf-839211ca5b7a,MA State Representative,District 6th Worcester,1,1,Peter J. Durant,Republican Party,Republican Party,,,TRUE,,,,,,,,,,,,,,,,Peter_Durant,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,066d449f-d780-5815-9b90-0f77a4359de9,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 36th Middlesex district,ocd-division/country:us/state:ma/sldl:36th_middlesex,State Representative,MA State House,2a5106a1-3542-42fb-8ea3-668c697cdc81,MA State Representative,District 36th Middlesex,1,1,Colleen M. Garry,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,Colleen_Garry,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,ee72eed5-5b98-5f3d-969e-b9defa1b54be,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 7th Bristol district,ocd-division/country:us/state:ma/sldl:7th_bristol,State Representative,MA State House,a16490fe-b865-4a0d-bd61-4cdc9b5e81ac,MA State Representative,District 7th Bristol,1,1,Alan Silvia,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,https://www.facebook.com/alan.silvia.7,,,,,,,Alan_Silvia,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,e88b49ac-e995-53a4-bdeb-0a773da25e2b,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Essex district,ocd-division/country:us/state:ma/sldl:9th_essex,State Representative,MA State House,55044023-d78f-418d-921b-3dc2428a4280,MA State Representative,District 9th Essex,1,1,Donald H. Wong,Republican Party,Republican Party,,,TRUE,,,,,,,,,,,,,,,,Donald_Wong,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
,03e2874e-de73-5e47-9d14-fc0758361abc,MA,administrativeArea1,legislatorLowerBody,Massachusetts,ocd-division/country:us/state:ma,Massachusetts 9th Hampden district,ocd-division/country:us/state:ma/sldl:9th_hampden,State Representative,MA State House,64dc709b-02a3-486a-96c6-424a279ef5e6,MA State Representative,District 9th Hampden,1,1,Orlando Ramos,Democratic Party,Democratic Party,,,TRUE,,,,,,,,,,,,,,,,,,,,,https://www.sec.state.ma.us/ele/ele22/state_election_candidates22.htm,Ballot filings,qualified,11/8/22
